,0
5761,0
5762,-1
5763,1
5764,-1
5765,-1
5766,-1
5767,-1
5768,-1
5769,-1
5770,1
5771,-1
5772,-1
5773,-1
5774,-1
5775,-1
5776,-1
5777,-1
5778,-1
5779,1
5780,-1
5781,1
5782,-1
5783,0
5784,-1
5785,-1
5786,-1
5787,0
5788,0
5789,-1
5790,0
5791,-1
5792,-1
5793,-1
5794,-1
5795,-1
5796,1
5797,1
5798,-1
5799,-1
5800,-1
5801,-1
5802,-1
5803,-1
5804,-1
5805,-1
5806,0
5807,-1
5808,1
5809,-1
5810,-1
5811,0
5812,-1
5813,-1
5814,-1
5815,1
5816,-1
5817,-1
5818,-1
5819,-1
5820,-1
5821,-1
5822,-1
5823,0
5824,-1
5825,-1
5826,-1
5827,1
5828,-1
5829,1
5830,-1
5831,1
5832,-1
5833,-1
5834,-1
5835,0
5836,0
5837,0
5838,-1
5839,-1
5840,-1
5841,0
5842,-1
5843,0
5844,0
5845,-1
5846,-1
5847,-1
5848,-1
5849,-1
5850,-1
5851,1
5852,-1
5853,-1
5854,-1
5855,-1
5856,-1
5857,-1
5858,1
5859,-1
5860,-1
5861,-1
5862,1
5863,1
5864,1
5865,1
5866,-1
5867,-1
5868,-1
5869,1
5870,-1
5871,0
5872,-1
5873,-1
5874,-1
5875,-1
5876,1
5877,1
5878,-1
5879,0
5880,0
5881,-1
5882,-1
5883,0
5884,0
5885,0
5886,-1
5887,0
5888,0
5889,0
5890,-1
5891,0
5892,-1
5893,-1
5894,-1
5895,-1
5896,-1
5897,1
5898,-1
5899,-1
5900,1
5901,1
5902,-1
5903,-1
5904,-1
5905,-1
5906,-1
5907,-1
5908,-1
5909,0
5910,0
5911,0
5912,0
5913,0
5914,0
5915,-1
5916,1
5917,-1
5918,-1
5919,0
5920,-1
5921,-1
5922,-1
5923,1
5924,-1
5925,1
5926,-1
5927,-1
5928,-1
5929,-1
5930,1
5931,-1
5932,-1
5933,-1
5934,-1
5935,0
5936,0
5937,0
5938,-1
5939,1
5940,1
5941,1
5942,-1
5943,0
5944,-1
5945,-1
5946,-1
5947,1
5948,-1
5949,1
5950,-1
5951,1
5952,1
5953,1
5954,-1
5955,0
5956,-1
5957,0
5958,-1
5959,1
5960,-1
5961,0
5962,-1
5963,0
5964,-1
5965,-1
5966,0
5967,-1
5968,0
5969,0
5970,-1
5971,-1
5972,-1
5973,-1
5974,-1
5975,0
5976,0
5977,0
5978,-1
5979,-1
5980,-1
5981,-1
5982,-1
5983,-1
5984,1
5985,-1
5986,-1
5987,-1
5988,-1
5989,-1
5990,-1
5991,1
5992,1
5993,1
5994,-1
5995,0
5996,-1
5997,-1
5998,-1
5999,-1
6000,-1
6001,-1
6002,-1
6003,1
6004,1
6005,-1
6006,-1
6007,-1
6008,0
6009,-1
6010,-1
6011,-1
6012,-1
6013,0
6014,-1
6015,0
6016,0
6017,-1
6018,-1
6019,1
6020,-1
6021,-1
6022,-1
6023,-1
6024,-1
6025,-1
6026,-1
6027,0
6028,0
6029,-1
6030,-1
6031,-1
6032,1
6033,-1
6034,-1
6035,-1
6036,1
6037,0
6038,-1
6039,-1
6040,0
6041,0
6042,0
6043,-1
6044,-1
6045,-1
6046,-1
6047,0
6048,0
6049,-1
6050,-1
6051,-1
6052,-1
6053,-1
6054,-1
6055,1
6056,-1
6057,-1
6058,-1
6059,-1
6060,-1
6061,-1
6062,-1
6063,1
6064,-1
6065,-1
6066,-1
6067,-1
6068,1
6069,0
6070,-1
6071,-1
6072,-1
6073,0
6074,-1
6075,-1
6076,1
6077,-1
6078,-1
6079,-1
6080,0
6081,1
6082,0
6083,1
6084,-1
6085,1
6086,-1
6087,0
6088,0
6089,-1
6090,-1
6091,-1
6092,1
6093,-1
6094,-1
6095,-1
6096,-1
6097,-1
6098,-1
6099,-1
6100,0
6101,-1
6102,-1
6103,-1
6104,-1
6105,-1
6106,-1
6107,-1
6108,0
6109,0
6110,-1
6111,-1
6112,-1
6113,-1
6114,-1
6115,0
6116,0
6117,-1
6118,-1
6119,-1
6120,-1
6121,-1
6122,-1
6123,0
6124,-1
6125,-1
6126,-1
6127,-1
6128,-1
6129,-1
6130,-1
6131,-1
6132,-1
6133,0
6134,0
6135,-1
6136,-1
6137,-1
6138,-1
6139,0
6140,-1
6141,-1
6142,-1
6143,1
6144,1
6145,-1
6146,-1
6147,-1
6148,-1
6149,-1
6150,-1
6151,-1
6152,-1
6153,-1
6154,0
6155,-1
6156,0
6157,0
6158,0
6159,-1
6160,1
6161,-1
6162,-1
6163,1
6164,-1
6165,1
6166,-1
6167,-1
6168,-1
6169,-1
6170,-1
6171,0
6172,1
6173,0
6174,1
6175,-1
6176,1
6177,0
6178,-1
6179,1
6180,-1
6181,-1
6182,-1
6183,0
6184,-1
6185,-1
6186,-1
6187,1
6188,1
6189,-1
6190,1
6191,0
6192,-1
6193,-1
6194,-1
6195,-1
6196,0
6197,-1
6198,-1
6199,-1
6200,-1
6201,1
6202,-1
6203,-1
6204,-1
6205,-1
6206,-1
6207,-1
6208,0
6209,0
6210,-1
6211,-1
6212,0
6213,-1
6214,-1
6215,-1
6216,1
6217,-1
6218,-1
6219,-1
6220,-1
6221,1
6222,1
6223,1
6224,1
6225,1
6226,-1
6227,1
6228,-1
6229,1
6230,-1
6231,-1
6232,1
